Name,Lat,Lon,country,state,Population
Devonport,-41.17695,146.35152,AU,6,19317
Deer Park,-37.76667,144.78333,AU,7,16204
Deception Bay,-27.19354,153.02631,AU,4,16090
Dandenong,-37.98333,145.2,AU,7,24919
Cronulla,-34.06251,151.14961,AU,2,16754
Cranbourne,-38.1,145.28333,AU,7,39419
Cranbourne,-38.11342,145.28326,AU,7,18622
Craigieburn,-37.6,144.95,AU,7,19728
Coffs Harbour,-30.29626,153.11351,AU,2,26353
Coburg,-37.75,144.96667,AU,7,24977
Clayton,-37.91667,145.11667,AU,7,15543
Wollongong,-34.424,150.89345,AU,2,292190
Cessnock,-32.83211,151.35623,AU,2,16393
Castle Hill,-33.73333,151,AU,2,35389
Carrum Downs,-38.09968,145.17248,AU,7,17213
Carnegie,-37.88333,145.06667,AU,7,16299
Carlingford,-33.78269,151.04888,AU,2,21364
Caringbah,-34.04726,151.12051,AU,2,21283
Canberra,-35.28346,149.12807,AU,1,367752
Camberwell,-37.84205,145.0694,AU,7,19637
Caloundra,-26.80346,153.12195,AU,4,38706
Cairns,-16.92304,145.76625,AU,4,153075
Caboolture,-27.08465,152.9511,AU,4,21478
Burnie,-41.05584,145.90375,AU,6,19972
Bundaberg,-24.86621,152.3479,AU,4,70826
Buderim,-26.68443,153.05705,AU,4,15228
Brunswick,-37.76667,144.96667,AU,7,19867
Broken Hill,-31.96173,141.45998,AU,2,18430
Brisbane,-27.46794,153.02809,AU,4,2189878
Boronia,-37.86667,145.28333,AU,7,20825
Blacktown,-33.76667,150.91667,AU,2,39000
Berwick,-38.03333,145.35,AU,7,44779
Bendigo,-36.75818,144.28024,AU,7,100617
Baulkham Hills,-33.75881,150.99292,AU,2,33945
Bathurst,-33.41665,149.5806,AU,2,33110
Banora Point,-28.21298,153.53634,AU,2,27368
Bankstown,-33.91667,151.03333,AU,2,30572
Ballarat,-37.56622,143.84957,AU,7,97937
Auburn,-33.85,151.03333,AU,2,33122
Ashfield,-33.88834,151.12274,AU,2,22000
Armidale,-30.50828,151.67123,AU,2,22673
